Timecard_Pay_Date,SOW,Actual_Total_Hours,Actual_Total_Expense,Estimated_Total_Hours,Estimated_Total_Expense
2018-01-02,Anthem,1499,44445.3515625,1496,44356.4
2018-01-03,Anthem,1373,40709.44921875,1368,40561.2
2018-01-04,Anthem,1418,42043.69921875,1400,41510
2018-01-05,Anthem,1281,37981.6484375,1288,38189.2
2018-01-06,Anthem,430,12749.5,472,13994.8
2018-01-07,Anthem,325,9636.25,352,10436.8
2018-01-08,Anthem,1548,45898.19921875,1552,46016.8
2018-01-09,Anthem,1526,45245.8984375,1504,44593.6
2018-01-10,Anthem,1426,42280.8984375,1392,41272.8
2018-01-11,Anthem,1421,42132.6484375,1408,41747.2
2018-01-12,Anthem,1296,38426.3984375,1296,38426.4
2018-01-13,Anthem,443,13134.9501953125,464,13757.6
2018-01-14,Anthem,300,8895,360,10674
2018-01-15,Anthem,1420,42103,1544,45779.6
2018-01-16,Anthem,1073,31814.44921875,976,28938.4
2018-01-17,Anthem,1317,39049.05078125,1384,41035.6
2018-01-18,Anthem,1407,41717.55078125,1392,41272.8
2018-01-19,Anthem,1235,36617.75,1280,37952
2018-01-20,Anthem,454,13461.099609375,472,13994.8
2018-01-21,Anthem,330,9784.5,360,10674
2018-01-22,Anthem,1565,46402.25,1560,46254
2018-01-23,Anthem,1423,42191.94921875,1512,44830.8
2018-01-24,Anthem,1259,37329.3515625,1408,41747.2
2018-01-25,Anthem,1307,38752.55078125,1392,41272.8
2018-01-26,Anthem,1141,33830.6484375,1304,38663.6
2018-01-27,Anthem,408,12097.2001953125,472,13994.8
2018-01-28,Anthem,330,9784.5,368,10911.2
2018-01-29,Anthem,1438,42636.69921875,1560,46254
2018-01-30,Anthem,1426,42280.8984375,1496,44356.4
2018-01-31,Anthem,1208,35817.19921875,1392,41272.8
2018-02-01,Anthem,1279,37922.3515625,1408,41747.2
2018-02-02,Anthem,1109,32881.8515625,1288,38189.2
2018-02-03,Anthem,430,12749.5,488,14469.2
2018-02-04,Anthem,290,8598.5,368,10911.2
2018-02-05,Anthem,1270,37655.5,1568,46491.2
2018-02-06,Anthem,1273,37744.44921875,1504,44593.6
2018-02-07,Anthem,1225,36321.25,1384,41035.6
2018-02-08,Anthem,1232,36528.80078125,1408,41747.2
2018-02-09,Anthem,1057,31340.05078125,1304,38663.6
2018-02-10,Anthem,441,13075.650390625,480,14232
2018-02-11,Anthem,302,8954.2998046875,368,10911.2
2018-02-12,Anthem,1326,39315.8984375,1568,46491.2
2018-02-13,Anthem,1310,38841.5,1504,44593.6
2018-02-14,Anthem,1259,37329.3515625,1384,41035.6
2018-02-15,Anthem,1264,37477.6015625,1408,41747.2
2018-02-16,Anthem,1076,31903.400390625,1024,30361.6
2018-02-19,Anthem,1325,39286.25,1232,36528.8
2018-02-20,Anthem,1399,41480.3515625,1224,36291.6
2018-02-21,Anthem,1344,39849.6015625,1216,36054.4
2018-02-22,Anthem,1305,38693.25,1224,36291.6
2018-02-23,Anthem,1237,36677.05078125,1168,34631.2
2018-02-26,Anthem,1357,40235.05078125,1232,36528.8
2018-02-27,Anthem,1358,40264.69921875,1224,36291.6
2018-02-28,Anthem,1299,38515.3515625,1216,36054.4
2018-03-01,Anthem,1329,39404.8515625,1232,36528.8
2018-03-02,Anthem,1132,33563.80078125,1144,33919.6
2018-03-03,NULL,4,118.5999984741211,NULL,NULL
2018-03-05,Anthem,1322,39197.30078125,1216,36054.4
2018-03-06,Anthem,1350,40027.5,1224,36291.6
2018-03-07,Anthem,1307,38752.55078125,1224,36291.6
2018-03-08,Anthem,1307,38752.55078125,1216,36054.4
2018-03-09,Anthem,1276,37833.3984375,1152,34156.8
2018-03-12,Anthem,1313,38930.44921875,1232,36528.8
2018-03-13,Anthem,1275,37803.75,1232,36528.8
2018-03-14,Anthem,1255,37210.75,1232,36528.8
2018-03-15,Anthem,1280,37952,1224,36291.6
2018-03-16,Anthem,1119,33178.3515625,1152,34156.8
2018-03-19,Anthem,1214,35995.1015625,1240,36766
2018-03-20,Anthem,1248,37003.19921875,1240,36766
2018-03-21,Anthem,1242,36825.30078125,1232,36528.8
2018-03-22,Anthem,1244,36884.6015625,1224,36291.6
2018-03-23,Anthem,1135,33652.75,1160,34394
2018-03-26,Anthem,1257,37270.05078125,1232,36528.8
2018-03-27,Anthem,1411,41836.1484375,1240,36766
2018-03-28,Anthem,1320,39138,1232,36528.8
2018-03-29,Anthem,1388,41154.19921875,1232,36528.8
2018-03-30,Anthem,1190,35283.5,1144,33919.6
2018-03-31,Anthem,80,2372,64,1897.6
2018-04-02,Anthem,1320,39138,1256,37240.4
2018-04-03,Anthem,1376,40798.3984375,1248,37003.2
2018-04-04,Anthem,1318,39078.69921875,1248,37003.2
2018-04-05,Anthem,1340,39731,1224,36291.6
2018-04-06,Anthem,1187,35194.55078125,1184,35105.6
